id,averageRating,numVotes,titleType,startYear
393,8.3,1622,tvEpisode,2005
394,8.6,147,tvEpisode,2014
395,4.5,8,tvMovie,2003
396,7.6,22,tvEpisode,2004
397,7.7,23,tvMiniSeries,2018
398,8.3,58,tvEpisode,2011
399,5.6,21,tvMovie,1967
400,7.4,20,tvSeries,2020
401,6.3,2392,tvEpisode,2020
402,7.5,90,video,1995
403,6.4,15,tvSeries,2001
404,6.5,436,tvSeries,1999
405,5.1,40,movie,2002
406,7.1,13,movie,2009
407,7.5,88,tvEpisode,2009
408,7.2,7,tvMovie,2004
409,6.3,7,movie,1974
410,8.5,6,tvEpisode,2007
411,7.0,18,tvMovie,1993
412,7.1,22,movie,1970
413,4.3,8,movie,1975
414,7.4,42,tvEpisode,1986
415,8.0,15,tvEpisode,2010
416,8.6,1006,tvEpisode,2006
417,6.6,10,movie,2020
418,4.4,12,short,1899
419,6.3,164,movie,1942
420,8.4,168,tvEpisode,2018
421,6.8,7,tvEpisode,2007
422,7.2,23,tvEpisode,2013
423,9.7,18,tvEpisode,2008
424,6.6,390,tvEpisode,2002
425,8.2,5,tvEpisode,2005
426,6.6,6,tvEpisode,2020
427,6.9,750,movie,2004
428,8.0,57,tvEpisode,1998
429,8.6,10,tvEpisode,2011
430,7.1,3879,movie,2007
431,8.7,14,tvEpisode,2015
432,6.6,8,tvEpisode,1959
433,8.1,10,short,2001
434,7.5,98,tvEpisode,1984
435,6.3,7,tvEpisode,2020
436,8.0,10,tvEpisode,2019
437,7.4,5,short,1970
438,5.6,32,movie,2018
439,7.8,14,tvMovie,2010
440,7.0,7,tvMiniSeries,2017
441,6.9,239611,movie,2019
442,6.8,10,movie,1967
443,6.9,115,movie,2010
444,8.9,23,tvMovie,1968
445,6.0,1620,movie,2015
446,6.2,48,video,2001
447,7.6,8,tvEpisode,2000
448,8.4,8,tvEpisode,2019
449,8.4,5,tvEpisode,2018
450,6.6,18,movie,1937
451,8.8,69,tvEpisode,2019
452,5.5,16,short,1953
453,7.0,4554,movie,1973
454,4.4,6,movie,1963
455,7.5,9,tvEpisode,2007
456,8.1,16,tvEpisode,2013
457,5.2,8,tvEpisode,2002
458,7.5,10,tvEpisode,2018
459,5.5,16,movie,2016
460,8.1,15,tvEpisode,1969
461,8.8,11,tvSeries,2015
462,7.1,14,tvEpisode,1981
463,8.2,729,tvEpisode,2019
464,7.5,26,tvEpisode,2005
465,5.2,966,movie,1993
466,8.2,11,short,2017
467,9.1,9,tvEpisode,2018
468,7.3,38,tvSeries,2012
469,6.5,18,tvMiniSeries,1983
470,7.8,8,video,2008
471,5.9,9,movie,1968
472,4.8,8,movie,1981
473,6.8,6,short,1948
474,8.0,6,tvEpisode,2015
475,7.3,35,movie,1919
476,6.1,31,tvEpisode,2018
477,5.3,25,movie,1987
478,2.5,8,tvEpisode,2007
479,9.6,14,tvEpisode,1997
480,8.3,34,tvEpisode,2016
481,6.0,5,tvSeries,1974
482,5.6,7,video,2014
483,6.3,42,movie,2015
484,6.6,47,tvEpisode,1989
485,9.0,215,movie,2019
486,3.8,76,movie,2014
487,6.9,8,tvMiniSeries,2020
488,2.8,5,tvEpisode,2019
489,7.6,30,tvEpisode,2013
490,9.6,66,tvEpisode,2020
491,8.0,11,tvEpisode,2012
492,7.3,6,tvEpisode,2011
493,5.7,1936,tvMiniSeries,2005
494,6.1,116,movie,2003
495,7.6,19,movie,1961
496,7.0,720,movie,1981
497,6.8,21,tvEpisode,2020
498,5.9,14,short,2012
499,4.8,7,tvEpisode,2006
500,7.2,17,tvEpisode,2014
501,7.4,21,video,2008
502,7.6,52,tvMiniSeries,2013
503,6.0,70,movie,1986
504,7.5,6,tvEpisode,2019
505,8.3,45,tvEpisode,2016
506,7.7,39,tvEpisode,2000
507,5.8,15,movie,1991
508,6.8,6,tvEpisode,2000
509,8.3,1792,tvEpisode,2014
510,5.9,20,video,2008
511,5.0,21,short,2019
512,4.9,8,tvEpisode,2012
513,8.2,7,movie,1929
514,6.2,139,video,2012
515,6.2,40,movie,1931
516,4.6,23,tvSeries,1988
517,8.2,12,tvEpisode,2013
518,7.6,7,tvEpisode,2011
519,5.8,18,tvSeries,1989
520,5.1,567,movie,2017
521,3.0,29,movie,2015
522,6.8,5,tvEpisode,2017
523,8.6,36,tvEpisode,2015
524,5.4,9,tvEpisode,2018
525,8.5,232,tvEpisode,2014
526,5.4,9863,tvSeries,2000
527,5.9,10,tvEpisode,2013
528,6.1,48,videoGame,2000
529,6.7,9,tvEpisode,1964
530,7.3,7,movie,1976
531,6.9,228,movie,2004
532,7.6,34,tvEpisode,2011
533,5.1,17,tvEpisode,2020
534,5.8,1556,tvMiniSeries,2018
535,8.1,16,tvMovie,1997
536,6.1,560,movie,2013
537,7.4,18,videoGame,2001
538,7.2,258,tvSeries,2004
539,5.4,10,tvEpisode,2020
540,6.0,155,movie,1993
541,7.9,7,short,2019
542,6.2,862,movie,2008
543,9.2,378,tvEpisode,2018
544,6.0,12,tvEpisode,2010
545,5.6,80,movie,1931
546,6.1,8,tvEpisode,2020
547,7.1,243,tvEpisode,2003
548,6.0,111,movie,1934
549,4.5,254,movie,2015
550,8.3,371,tvEpisode,2009
551,5.9,1370,tvSeries,2008
552,6.9,63,tvEpisode,2011
553,6.3,57,short,1997
554,7.1,134,tvSeries,2015
555,5.1,23,short,2010
556,6.4,5,tvEpisode,2019
557,3.6,8,tvSeries,2020
558,2.6,153,video,2009
559,5.0,14,short,1932
560,8.2,9,tvEpisode,1992
561,7.1,10,tvEpisode,1987
562,6.2,15,short,1913
563,7.9,8,tvEpisode,2018
564,6.6,251,tvEpisode,2020
565,7.6,106,tvEpisode,2020
566,7.3,67,movie,2001
567,7.2,13,tvSeries,2015
568,4.1,106,video,2007
569,4.8,7,tvEpisode,2010
570,7.5,507,short,1954
571,8.3,12,tvEpisode,2014
572,7.9,157,tvEpisode,2015
573,7.1,54,tvMiniSeries,2012
574,7.4,7,tvEpisode,2005
575,7.8,10,tvEpisode,2008
576,4.9,214,movie,2019
577,8.6,15,tvEpisode,2015
578,7.5,77,tvEpisode,2006
579,7.0,8,tvEpisode,2009
580,5.2,10,movie,2018
581,6.7,100,movie,1957
582,6.4,61,movie,2019
583,3.4,686,movie,1967
584,6.4,109,movie,2016
585,6.7,7,tvEpisode,2020
586,6.2,5,tvMiniSeries,2017
587,6.8,30,tvEpisode,2006
588,7.1,21,tvEpisode,2019
589,6.7,200,movie,2014
590,5.6,6,tvEpisode,1992
591,7.7,78,tvEpisode,1996
592,6.7,27,tvMovie,2013
593,6.8,92,tvEpisode,2019
594,5.4,5,movie,1967
595,8.5,1326,tvEpisode,2001
596,7.6,60,tvMovie,1974
597,8.7,28,tvEpisode,2008
598,7.8,268,movie,2018
599,9.4,8,video,2008
600,7.2,66,tvEpisode,2020
601,6.8,6,short,2018
602,7.2,5,tvEpisode,2017
603,6.7,12,movie,1999
604,6.6,19,short,2005
605,6.2,10,tvEpisode,2016
606,2.0,7,tvSeries,2004
607,6.3,16,short,1900
608,7.9,55,short,2002
609,7.4,41,movie,1977
610,8.1,66,tvEpisode,2013
611,7.8,113,tvEpisode,2007
612,3.7,13,video,2019
613,6.3,7,tvEpisode,2002
614,9.2,98,tvSeries,2017
615,5.5,10,tvEpisode,1986
616,4.8,5,video,2013
617,7.9,16,video,2005
618,7.9,8,tvEpisode,2017
619,5.7,7,movie,2001
620,8.0,8,video,1986
621,7.4,137,tvEpisode,2013
622,7.0,1405,movie,1959
623,9.5,8,tvEpisode,2016
624,7.9,33,tvEpisode,1971
625,7.1,92,tvEpisode,2006
626,5.6,15,short,1988
627,6.4,22,movie,1966
628,5.2,211,movie,1968
629,9.1,10,tvSeries,2013
630,7.4,8,tvEpisode,2016
631,6.3,19,tvEpisode,2020
632,7.2,18,movie,2015
633,6.4,7,short,1969
634,6.6,124,movie,1965
635,8.2,117,tvEpisode,1999
636,5.6,13,movie,1999
637,6.3,16,tvEpisode,2018
638,6.1,9,tvEpisode,2006
639,5.5,50,movie,2010
640,4.6,5,short,1953
641,7.3,29,tvSeries,2018
642,8.3,18,tvEpisode,2013
643,5.4,7,short,2015
644,8.1,975,tvEpisode,2019
645,5.3,9,tvEpisode,2006
646,8.2,764,tvEpisode,2018
647,5.8,618,movie,2011
648,7.7,226,tvEpisode,2007
649,6.3,175,short,2020
650,7.4,7,tvEpisode,1991
651,3.9,11,tvEpisode,2005
652,7.8,5,tvEpisode,2009
653,8.0,1334,tvMovie,2012
654,6.6,27,tvSeries,2010
655,5.6,89,short,2015
656,6.9,116,movie,1994
657,8.2,19,tvEpisode,2018
658,6.6,5,short,2007
659,6.8,24,movie,1998
660,7.1,323,tvEpisode,2017
661,8.2,19,tvEpisode,2013
662,6.8,1020,tvEpisode,2014
663,5.0,214,movie,2018
664,8.1,33,tvEpisode,2010
665,6.8,2071,tvSeries,2017
666,7.7,8913,movie,1998
667,8.7,15,tvMovie,1966
668,6.7,6,tvEpisode,2012
669,6.3,22,movie,1954
670,6.4,5,video,2001
671,7.6,13,tvSeries,2000
672,4.9,15,tvMovie,2006
673,3.8,33,movie,2019
674,5.1,9,tvEpisode,2006
675,6.5,122,short,2017
676,6.9,389,short,2006
677,8.1,27,tvEpisode,1975
678,7.4,163,videoGame,2005
679,5.1,55,tvEpisode,2010
680,8.4,62,videoGame,2008
681,6.8,81,tvEpisode,1995
682,7.9,104,tvEpisode,2008
683,7.5,12,tvEpisode,1978
684,7.9,15,tvEpisode,2017
685,7.5,67,tvEpisode,1961
686,6.4,1300,movie,2019
687,5.8,33,movie,1947
688,7.3,49,tvEpisode,2009
689,3.6,985,tvMovie,2008
690,6.5,8,tvEpisode,2003
691,7.9,7,movie,2020
692,8.2,23,tvEpisode,2013
693,6.4,18,tvEpisode,2001
694,8.2,5,tvEpisode,2019
695,3.4,61,movie,2017
696,7.9,16,tvEpisode,2007
697,7.5,28,movie,2001
698,4.7,288,movie,2016
699,7.1,182,tvMovie,1968
700,7.3,263,tvEpisode,1989
701,6.8,33,movie,2012
702,4.1,217,movie,2013
703,9.1,15,short,2013
704,8.2,14,tvEpisode,2018
705,8.8,262,tvEpisode,1965
706,5.6,20,videoGame,1977
707,7.6,8,tvEpisode,1976
708,8.9,320,tvEpisode,2020
709,7.3,17,tvEpisode,2008
710,4.7,76,movie,1975
711,4.3,6,short,1897
712,4.4,9,movie,1987
713,7.2,13,tvEpisode,2018
714,6.5,230,movie,1991
715,3.7,44,tvSeries,2011
716,8.7,10,tvEpisode,2008
717,6.9,495,movie,1984
718,6.3,616,movie,1985
719,5.4,24,video,1995
720,7.6,61,movie,2019
721,8.0,178,tvEpisode,2010
722,6.9,911,movie,1954
723,6.4,903,movie,1934
724,5.7,6,movie,1954
725,7.8,16,short,2009
726,6.6,43,movie,1937
727,6.0,27,tvEpisode,2016
728,7.3,1027,movie,2010
729,8.7,6,tvEpisode,2020
730,6.6,8,tvEpisode,2015
731,7.9,113,videoGame,2019
732,6.7,7,movie,2016
733,8.3,35,tvMovie,2012
734,6.2,1142,movie,1951
735,6.0,61,short,2020
736,8.7,36,tvMiniSeries,1997
737,7.0,6,short,2004
738,7.1,7,tvEpisode,1997
739,6.3,63,tvSpecial,2020
740,7.4,25,tvShort,2017
741,4.6,5,movie,1951
742,5.8,203,tvMovie,2000
743,7.1,14,tvEpisode,2018
744,5.6,47,movie,2013
745,8.4,41,tvEpisode,2018
746,6.6,19,tvEpisode,1987
747,4.8,118,movie,1934
748,7.4,15,tvEpisode,2000
749,5.5,6,tvSeries,2016
750,4.0,8,tvEpisode,2011
751,6.4,15,short,1938
752,6.7,14,video,2000
753,3.2,23,movie,2018
754,2.4,14,movie,1968
755,8.8,6,short,2016
756,5.9,21,short,2010
757,7.2,9,short,2008
758,8.2,3156,tvEpisode,2016
759,7.4,1013,tvSeries,2019
760,6.2,363,movie,1940
761,6.1,56,tvMovie,2000
762,10.0,5,tvEpisode,2002
763,5.3,7,movie,1916
764,7.1,223,movie,2013
765,8.2,14,tvEpisode,2012
766,8.2,5,tvEpisode,2021
767,7.2,55,movie,1937
768,5.6,66,video,2013
769,5.0,6,tvSeries,2016
770,5.6,25,short,1930
771,7.0,5,tvEpisode,2014
772,6.0,6,movie,1960
773,7.1,122,movie,1976
774,8.3,957,tvSeries,2004
775,7.4,235,movie,2009
776,6.4,140,tvEpisode,1958
777,7.0,6,tvEpisode,2019
778,7.7,20,tvEpisode,2014
